duration treatment female black hispanic ndependents recall young old quarter durable lusd
4011 16.9968876364056 0 0 0 0 0 0 1 0 0 0 0
4013 26.9894605826766 0 1 0 0 0 1 1 0 0 0 0
4015 1.00108348257107 1 1 0 0 0 0 1 0 4 0 0
4017 1.02156381514279 1 1 1 0 1 0 1 0 4 0 0
4022 0.996712795459117 1 1 0 0 0 0 1 0 4 0 0
4026 1.01780955670463 1 1 0 0 0 0 1 0 2 0 0
4029 15.0164321742353 1 1 0 0 0 0 1 0 1 0 0
4033 27.9965037375673 1 0 0 0 0 0 1 0 4 1 0
4034 2.00684191191517 0 0 0 0 0 0 1 0 2 0 0
4035 10.0095606640698 0 1 0 0 0 1 1 0 0 0 0
4036 27.0072777629059 1 1 0 0 0 0 1 0 4 0 0
4039 9.00710615289566 1 1 0 0 0 1 1 0 4 0 1
4040 2.02319996516277 1 0 0 0 0 0 1 0 4 0 1
4044 51.9826496939071 0 1 0 0 0 0 0 1 5 0 0
4045 37.9996464970095 0 0 0 0 1 0 0 1 4 0 0
4046 11.9831062993367 1 0 0 0 1 0 0 1 3 0 0
4047 24.9918308350092 1 0 0 0 0 0 0 1 3 0 0
4048 26.9915239151533 1 0 0 0 1 0 0 1 5 0 0
4049 16.9937257977322 0 0 0 0 1 0 0 1 4 0 0
4051 8.00140181782523 1 1 1 0 0 0 0 1 3 0 0
4052 23.9982248533943 1 0 0 0 0 1 0 0 2 0 0
4053 27.007876140574 0 1 0 0 0 0 0 0 5 0 0
4054 3.01889430407398 0 0 0 0 1 0 0 1 3 1 0
4057 18.9960544870973 1 0 0 0 0 1 0 0 2 0 1
4058 7.00229350760641 1 1 0 0 0 0 0 0 5 0 1
4060 3.00789024680645 0 1 0 0 0 0 0 0 4 0 1
4061 2.99425056418012 0 0 0 0 1 0 0 0 4 0 1
4064 22.984901082282 0 0 0 0 2 0 0 0 5 0 0
4065 27.0005203250393 1 0 0 0 0 0 0 0 5 0 1
4069 29.9874223375069 0 0 0 0 2 0 0 0 5 0 0
4070 1.00175392312091 1 0 0 0 0 0 0 0 4 0 0
4073 16.9994217603098 0 0 0 0 0 1 0 0 2 0 0
4074 11.0091860608674 0 1 0 0 0 0 0 0 3 0 0
4078 6.99117139446963 1 0 0 0 0 1 0 0 3 0 0
4079 26.9869288782016 1 0 0 0 0 0 0 0 3 0 0
4080 13.9954256621484 1 0 0 0 2 1 0 0 3 0 0
4082 27.0002813762735 1 0 0 0 0 0 1 0 2 0 0
4085 14.0268187886912 1 0 0 0 1 0 1 0 3 1 1
4090 11.0039243606788 1 1 0 0 0 1 0 0 4 0 0
4092 27.0037010432777 0 0 1 0 0 0 0 0 3 0 0
4094 17.991835933053 1 0 0 0 0 0 0 0 5 0 1
4095 16.9975092347928 1 1 1 0 0 0 0 0 4 0 0
4098 2.00899918222144 1 1 0 0 0 0 0 0 2 0 0
4101 0.999691969116542 1 1 0 0 0 0 0 0 4 0 0
4105 16.0161016361096 1 0 0 0 2 0 1 0 3 1 0
4110 5.00679383607427 1 1 0 0 0 0 1 0 4 0 0
4111 11.9920987754567 0 1 0 0 2 0 0 0 4 0 0
4115 27.0097762030767 0 0 1 0 0 1 0 0 0 1 0
4116 21.9981683016741 0 1 0 0 2 1 1 0 2 0 0
4118 27.0161896081484 1 1 0 0 0 0 0 0 4 0 0
4120 13.0088260233247 0 1 0 0 0 0 0 0 3 0 0
4123 0.981365665153639 1 0 0 0 0 0 1 0 4 0 0
4128 27.0049816185449 1 0 0 0 0 0 1 0 2 0 0
4129 12.0207417624873 1 1 0 0 0 0 1 0 2 0 0
4132 1.00004986768677 0 0 0 0 2 0 1 0 3 0 0
4135 23.9951320505983 1 0 0 0 2 0 0 0 3 0 0
4138 34.0141701833422 0 0 1 0 0 0 1 0 5 1 0
4141 26.9951627128333 0 0 0 0 0 0 1 0 2 0 0
4144 13.0156880384597 0 0 0 0 0 0 1 0 0 1 0
4149 26.9964339485406 0 1 0 0 2 0 0 0 5 0 0
4154 1.02359265447097 1 0 0 0 0 1 0 0 5 1 1
4157 5.00614367374758 0 0 0 0 0 0 0 0 0 0 1
4158 0.99651872024278 0 0 0 0 0 0 1 0 4 0 1
4160 2.01176462422729 0 0 0 0 0 0 1 0 5 1 1
4163 3.99109964734487 0 1 0 0 1 1 1 0 2 0 1
4164 26.9978442119539 0 0 0 0 0 0 1 0 3 0 0
4165 27.0210766692736 1 1 0 0 0 0 1 0 1 1 0
4168 27.0010991231716 1 0 0 0 2 0 1 0 0 1 0
4170 26.9920525342447 1 0 0 0 0 0 1 0 2 0 1
4172 1.00322742949785 0 1 0 0 0 0 1 0 2 0 0
4174 27.0037319738582 1 0 0 0 0 0 1 0 3 0 0
4176 2.01631727686875 1 0 0 0 0 0 1 0 2 0 0
4177 11.0068854495932 1 1 0 0 2 1 1 0 4 0 1
4183 29.0136799601304 0 1 0 0 0 0 1 0 3 0 1
4184 23.0009845875284 1 0 0 0 0 1 1 0 3 0 0
4187 13.0090234198618 1 0 0 0 0 1 1 0 2 0 0
4188 9.01007115721977 1 0 1 0 0 0 1 0 5 0 0
4189 8.00539205882722 1 0 0 0 0 0 1 0 0 0 0
4190 3.99583526843485 0 0 0 0 2 0 1 0 4 1 0
4192 10.012098784901 1 1 0 0 1 0 1 0 5 0 0
4193 7.99944079324632 0 1 0 0 0 0 1 0 5 0 0
4194 9.99934628490804 0 1 0 0 0 0 1 0 2 0 0
4197 1.00435927717118 1 1 0 0 0 0 1 0 3 0 1
4198 7.98616045864129 1 1 0 0 0 0 1 0 4 0 0
4199 0.981743371197456 0 0 0 0 0 0 1 0 0 0 0
4200 17.0072884147883 1 0 0 0 0 0 1 0 4 0 0
4201 1.01043244450077 0 1 0 0 2 0 1 0 5 0 1
4202 26.9985822830355 0 1 0 0 0 1 1 0 5 0 1
4203 22.0181201680968 0 0 0 0 0 0 1 0 2 0 1
4204 25.9984954961743 1 0 0 0 0 0 1 0 5 0 0
4207 13.997684145996 1 1 0 0 0 0 1 0 2 0 0
4209 1.01089312187268 0 1 0 0 0 0 1 0 3 0 0
4212 5.01320635554129 0 1 0 0 0 0 1 0 3 0 1
4213 2.99648057749219 0 1 0 0 0 0 1 0 3 0 0
4215 27.0016482565153 0 0 0 0 0 0 1 0 5 0 1
4216 1.01382183956314 1 1 0 0 0 0 1 0 3 0 0
4218 5.99301264271655 0 1 0 0 0 0 0 1 5 0 1
4223 1.0011096857876 0 1 0 0 1 0 1 0 4 0 1
4228 27.9944815855924 1 1 0 0 0 0 1 0 5 0 0
4230 26.9988282993873 0 1 0 0 0 0 1 0 2 0 0
4231 4.99748494715886 1 1 0 0 0 0 1 0 0 0 0
4232 16.9910855189267 0 0 0 0 0 0 1 0 3 0 0
4235 19.9997217977123 0 1 0 0 0 0 1 0 1 0 0
4239 27.0128731069199 0 1 0 0 0 0 0 1 2 0 1
4240 1.9950036884208 0 1 0 0 0 0 0 1 2 1 1
4243 26.9973345333373 0 1 0 0 0 0 0 1 4 0 0
4245 0.988671903350399 0 0 0 0 0 0 0 1 3 0 0
4249 3.00051951533411 1 0 0 0 2 0 0 1 2 0 0
4252 6.00553906570437 1 1 0 0 0 0 0 1 4 0 0
4253 0.991123082652553 0 1 0 0 0 1 0 1 0 0 0
4256 26.9910863223032 1 1 0 0 0 0 0 1 2 1 0
4257 25.98126070056 1 0 0 0 0 0 0 1 5 0 0
4261 3.9897208771594 0 1 0 0 0 0 0 0 3 0 1
4262 26.9956504793865 1 1 0 0 0 0 0 1 0 1 1
4264 3.00742869490072 0 1 0 0 0 0 0 1 4 0 1
4265 24.0068250273015 0 1 0 0 0 0 0 0 3 0 0
4266 26.9985924462531 1 0 0 0 0 0 0 0 5 1 0
4269 1.98858615304615 1 0 0 0 0 1 0 0 5 0 0
4274 23.000590021342 1 1 0 0 0 1 0 0 3 0 0
4275 0.995859085145551 0 0 0 0 2 0 0 0 5 0 0
4277 27.0031150752009 0 1 0 0 2 0 0 0 4 0 0
4278 3.00094958369634 0 0 0 0 0 0 0 0 5 0 0
4280 0.998600775530975 1 1 0 0 0 0 0 0 4 0 1
4281 4.01531334921072 0 0 0 0 0 1 0 0 3 0 1
4282 12.9960517147583 1 1 0 0 0 0 0 0 3 1 1
4283 12.0141079207963 0 0 0 0 0 0 0 0 4 0 1
4284 0.990416344203807 1 1 0 0 1 0 0 0 3 0 1
4286 16.0108145548075 1 1 0 0 0 0 0 0 5 1 1
4290 12.9967155902987 0 0 0 0 1 0 0 0 4 1 1
4293 27.0029714463151 0 0 0 0 0 0 0 0 2 1 1
4297 26.9925353998666 0 1 1 0 0 0 0 0 5 0 0
4301 12.0068957977028 0 1 0 0 0 0 0 0 0 0 1
4302 10.9995787925848 1 0 0 0 2 0 0 0 5 1 1
4304 0.999330396861335 0 0 0 0 0 0 0 0 5 0 1
4308 10.9950501329012 1 0 0 0 2 0 0 0 5 0 0
4310 10.0076609414531 0 1 0 0 0 0 0 0 3 0 0
4311 11.0101944472202 0 0 0 0 2 0 0 0 5 1 0
4312 27.0082212674448 1 0 0 0 0 0 0 0 4 0 0
4314 26.9968957152198 0 1 0 0 2 0 0 0 4 0 0
4319 1.01723196409549 1 1 1 0 0 0 0 0 4 0 1
4320 23.0064026953626 0 0 1 0 0 0 0 0 4 0 1
4321 5.99327068020986 0 1 0 0 1 0 0 0 3 0 1
4322 6.99524579967502 0 0 0 0 0 1 1 0 3 0 1
4324 1.99659485891073 1 0 0 0 0 0 1 0 3 0 1
4325 10.9947686126202 0 1 0 0 0 1 0 0 4 0 1
4328 2.99493947413183 1 0 0 0 0 0 0 0 3 1 1
4330 0.98922724459989 1 1 0 0 1 0 0 0 3 0 1
4332 26.9962257378872 1 1 1 0 1 0 0 0 4 0 1
4333 4.99848220234415 0 0 0 0 0 0 1 0 5 0 1
4335 1.01430329158619 1 0 0 0 0 0 0 0 2 0 1
4337 1.00515755026034 1 1 0 0 1 0 0 0 5 0 1
4339 25.9973887624983 1 1 0 0 2 0 0 0 5 0 1
4341 15.015585264534 1 0 1 0 0 0 1 0 5 1 1
4346 27.0030677171499 0 0 0 0 0 0 1 0 3 0 0
4348 4.01246649019067 0 0 0 0 0 1 1 0 0 0 0
4349 0.989206853504247 1 0 0 0 2 0 0 0 2 0 0
4350 1.99251449846129 1 1 0 0 0 0 1 0 3 0 1
4351 26.9870193971234 1 1 0 0 0 0 1 0 3 0 1
4355 8.00086443937626 0 1 0 0 0 1 1 0 2 0 1
4356 10.9895100016338 0 0 0 0 0 0 0 0 0 0 1
4358 1.99984412416495 0 0 0 0 2 1 0 0 2 0 1
4361 13.0083056489941 1 1 0 0 2 0 1 0 0 1 1
4362 1.01800506466335 1 1 1 0 2 0 1 0 2 1 1
4367 1.00531080107991 0 0 0 0 1 0 0 0 3 0 0
4368 14.0141757743753 0 0 0 1 2 0 1 0 2 0 0
4371 0.999900572320326 0 0 1 0 0 0 1 0 3 0 0
4373 0.990053224113123 1 1 1 0 0 0 1 0 4 0 0
4375 26.9931696335461 1 1 1 0 0 0 1 0 5 0 0
4376 10.0038303962724 0 0 0 1 0 0 1 0 3 1 0
4378 0.994887417240245 1 1 1 0 0 0 1 0 5 0 0
4379 10.9832366945396 1 1 1 0 2 0 1 0 4 0 0
4390 9.99866843334176 0 0 0 0 0 1 1 0 3 0 0
4392 26.9980438878219 0 1 1 0 0 0 1 0 2 0 0
4393 1.98656377710735 1 1 0 0 1 0 1 0 2 0 0
4395 6.00342215277822 1 0 1 0 0 0 1 0 2 0 0
4396 27.0056131678216 0 1 0 0 0 0 1 0 5 0 1
4399 1.99867925550009 0 0 0 0 0 0 1 0 2 0 0
4400 0.980932270082775 0 1 0 0 0 0 1 0 5 1 1
4402 4.014350805286 0 1 0 0 0 0 1 0 5 0 0
4404 27.0145247099283 1 0 1 0 0 0 1 0 5 1 1
4409 11.9960633012554 0 1 0 0 0 0 1 0 4 1 1
4410 27.0162024632205 1 1 0 0 0 0 1 0 2 0 0
4412 27.0130041328313 1 0 0 0 0 0 1 0 2 0 1
4413 5.00693142216243 0 1 0 0 0 0 1 0 5 0 1
4414 7.99613130724614 1 0 0 0 0 0 1 0 4 0 0
4418 18.0082440708071 1 0 0 0 2 0 1 0 2 0 0
4419 18.003823285557 0 0 0 0 0 1 1 0 2 0 0
4421 1.00193335995923 1 0 0 0 0 0 1 0 4 0 1
4422 1.98860286572616 1 1 0 0 0 0 1 0 4 0 1
4427 4.01158372269355 0 0 0 0 0 0 1 0 4 0 1
4431 26.9989911712771 0 0 0 0 0 0 1 0 5 0 0
4432 0.996987101544503 0 1 0 0 1 0 1 0 3 0 0
4434 3.00526262078771 1 1 0 0 0 0 1 0 2 0 0
4435 12.0023728100679 1 0 0 0 1 0 1 0 2 0 0
4439 26.998003132053 1 1 1 0 1 0 1 0 5 0 0
4441 26.9982909645838 1 1 1 0 0 0 1 0 4 0 0
4443 15.0070627125979 1 0 0 0 0 0 1 0 0 0 0
4444 27.0031913212145 0 0 1 0 0 0 1 0 4 0 0
4448 20.9985658226771 1 1 1 0 0 0 1 0 2 0 0
4450 30.9904348675315 0 0 0 0 0 0 1 0 0 0 0
4455 9.00363791639151 1 0 0 0 0 0 1 0 3 0 0
4459 12.9930625519476 1 1 0 0 0 0 1 0 4 0 0
4460 2.00750984491197 0 0 0 0 0 0 1 0 3 1 0
4463 10.9943732293461 1 1 0 0 1 0 1 0 2 0 1
4464 1.99610720572093 0 0 0 0 0 0 1 0 2 0 1
4466 1.99294684569834 1 0 0 0 0 0 1 0 5 0 0
4474 1.00528975358366 0 1 0 0 0 0 1 0 4 1 1
4477 25.0030102362305 0 0 0 0 0 0 1 0 5 1 1
4480 15.0187754382664 1 1 0 0 0 0 1 0 4 0 0
4485 0.986272533689101 0 0 0 0 0 0 1 0 4 0 1
4488 2.9989485100564 1 0 0 0 0 0 1 0 4 0 0
4489 27.985036865671 0 0 0 0 0 0 1 0 3 1 0
4491 17.0178077749461 0 0 0 0 2 0 1 0 2 0 0
4495 24.9953967115844 0 0 0 0 1 0 1 0 2 0 0
4497 27.0066960507991 0 1 0 0 0 0 1 0 4 1 0
4499 6.9773807809207 0 0 0 0 0 1 1 0 2 0 0
4502 2.99115619359575 1 0 0 0 0 0 1 0 3 0 0
4504 1.99606311709296 1 0 0 0 0 0 1 0 3 0 0
4505 12.9998494775082 0 0 0 0 0 0 1 0 3 0 0
4506 0.993520715392021 0 1 1 0 2 0 1 0 5 0 0
4508 26.9910077661222 0 1 0 0 0 0 1 0 3 0 0
4509 0.991396183371664 0 0 1 0 0 0 0 1 5 0 0
4510 26.9851268387602 1 0 1 0 0 0 0 1 4 0 1
4512 11.9940066577671 0 1 0 0 0 0 0 1 4 0 0
4513 27.0094258616004 1 1 0 0 0 0 0 1 4 0 0
4514 0.98825231463021 0 1 0 0 0 0 0 1 4 0 0
4520 27.0138432418567 0 0 0 0 0 0 0 1 4 0 0
4521 3.01377098416507 0 0 0 0 1 0 0 1 4 0 0
4524 16.0063415666095 0 0 0 0 0 0 0 1 2 0 0
4525 22.0068833964767 1 1 0 0 0 1 0 1 3 0 0
4528 0.999619591677057 1 1 0 0 0 0 0 1 2 0 0
4533 26.9861927336316 1 1 0 0 0 0 0 0 3 1 1
4534 1.00941653650694 1 0 0 0 0 0 0 1 0 1 1
4538 8.01414550465489 0 0 0 0 0 0 0 0 3 0 0
4540 12.9981430529794 1 1 1 0 0 0 0 0 5 0 0
4541 25.0078605028177 0 0 1 0 0 0 0 0 4 0 0
4542 24.0141204021051 0 0 0 0 1 0 0 0 5 0 0
4543 12.007251141398 0 0 0 0 2 0 0 0 5 1 0
4546 12.0092437314062 1 1 0 0 2 0 0 0 3 0 0
4548 14.0088924505749 0 1 0 0 0 1 0 0 3 0 0
4549 26.0008215632193 1 0 0 0 0 0 0 0 5 0 1
4551 20.0076058048113 0 0 0 0 0 0 0 0 4 0 0
4555 8.98205641238732 1 0 0 0 2 0 0 0 3 0 1
4559 27.0045946042035 0 0 0 0 1 0 0 0 5 1 0
4561 20.9939560035724 1 1 0 0 0 0 0 0 2 0 0
4564 2.99469935496099 1 1 0 0 0 0 0 0 2 0 0
4565 8.99664419899411 0 1 0 0 2 1 0 0 5 0 0
4571 7.00438571916935 0 0 0 0 1 0 0 0 5 0 0
4575 1.01003663525969 1 0 0 0 0 0 0 0 3 0 0
4578 19.0048518880295 0 0 0 0 2 0 0 0 3 0 0
4579 27.0010174739186 0 1 0 0 2 0 0 0 4 0 0
4581 27.0021309990475 1 1 1 0 0 0 0 0 2 0 0
4582 5.99729196536486 1 0 0 0 2 0 0 0 4 1 0
4583 8.9938639502658 1 0 1 0 0 0 0 0 2 0 0
4584 27.0040061016857 0 1 1 0 0 0 0 0 4 1 0
4585 1.03210782716919 0 1 1 0 2 0 0 0 5 0 0
4586 26.9814283379129 1 0 1 0 0 0 0 0 3 0 0
4587 0.995243929449647 0 0 0 0 0 0 0 0 5 0 0
4589 27.0198863230125 0 0 1 0 0 0 0 0 3 0 0
4590 0.99091275750303 0 1 1 0 0 0 0 0 4 0 0
4592 27.0010027294201 1 1 1 0 1 0 0 0 2 0 0
4597 26.998373425419 1 0 1 0 0 0 0 0 2 0 0
4598 25.9992047925225 1 0 0 0 0 0 0 0 2 0 0
4599 10.9960280588206 0 0 0 0 0 0 0 0 4 0 0
4601 11.9971148372459 1 1 0 0 2 1 0 0 4 0 0
4602 11.9976706490687 1 0 0 0 0 0 0 0 2 0 0
4605 6.99209187098941 1 1 0 0 1 0 0 0 3 0 0
4608 12.0069732709894 0 0 0 0 0 0 1 0 4 0 0
4612 14.9889073509908 1 1 0 0 0 0 0 0 3 0 0
4614 9.00386304263135 0 0 0 0 0 0 1 0 3 0 0
4615 2.01621864174338 0 1 0 0 2 0 0 0 5 0 0
4616 4.00412466954223 0 0 0 0 2 0 1 0 1 0 0
4617 19.9918300375959 0 1 0 0 1 0 1 0 0 0 0
4620 26.9994609115175 0 1 0 0 1 0 1 0 5 0 0
4624 1.99894646707334 1 0 0 0 0 0 1 0 4 0 0
4625 26.9938851950907 0 0 0 0 2 0 1 0 2 0 0
4629 7.99194884381818 1 1 0 1 0 0 1 0 5 0 0
4630 27.9870689923634 0 0 0 0 0 0 1 0 3 0 0
4631 0.994814047250863 1 0 0 0 0 0 1 0 2 0 0
4632 27.0095045891099 1 0 0 0 2 0 1 0 3 0 0
4634 2.00885950913797 1 0 0 0 0 0 1 0 3 0 0
4638 8.99252151634666 0 1 0 0 2 0 1 0 3 0 0
4639 17.005603426201 1 1 0 0 0 0 1 0 2 0 0
4640 1.01600012135068 1 0 0 0 2 0 1 0 3 0 0
4641 16.999754517506 1 1 0 0 2 0 1 0 4 0 0
4643 6.99336800492844 1 0 0 0 0 0 1 0 3 0 0
4644 10.9923089055254 0 0 0 0 2 0 1 0 0 1 0
4647 6.00046458332365 0 1 0 0 0 0 1 0 3 0 0
4648 26.9956216424634 1 1 0 0 0 0 1 0 2 0 0
4652 1.00731058529811 0 0 1 0 0 0 1 0 2 0 0
4653 27.0094280766506 0 0 0 0 1 0 1 0 5 1 0
4657 9.00318519651359 1 0 0 0 2 0 1 0 2 0 0
4662 8.98707486667381 0 0 0 0 2 0 1 0 4 0 0
4667 36.0039550093722 0 1 0 0 0 0 1 0 4 0 0
4669 20.0147992187287 0 0 0 0 0 0 1 0 0 0 0
4672 21.0038547548937 0 0 0 0 0 0 1 0 5 0 1
4673 26.9873578490168 1 0 1 0 0 0 1 0 3 0 0
4675 3.00337949961787 0 1 0 0 1 0 1 0 5 0 0
4676 13.9962039906287 1 0 0 0 2 1 1 0 2 1 0
4677 17.0002223364228 1 0 0 0 0 0 1 0 3 1 1
4681 28.0011863701411 0 1 0 0 0 0 1 0 0 0 0
4684 16.9915890497227 0 0 0 0 2 0 1 0 3 0 0
4687 20.0004308361117 1 1 0 0 0 0 1 0 4 0 1
4690 0.997147773113589 1 1 0 0 1 0 1 0 5 0 0
4691 6.00742710697481 1 0 1 0 0 0 1 0 3 0 0
4692 0.996415392719266 0 1 0 0 0 0 1 0 5 0 0
4693 0.984595712959607 0 1 0 0 0 0 1 0 3 0 0
4696 1.00905462858971 0 1 1 0 0 0 1 0 4 0 0
4697 18.0075324099017 0 0 1 0 0 0 1 0 5 0 0
4698 1.00876864154259 1 0 0 0 2 0 1 0 3 0 1
4699 18.0021000088467 1 1 0 0 0 0 1 0 5 0 0
4700 27.0091883532489 1 1 0 0 0 0 1 0 3 0 0
4702 16.003097685815 0 0 0 0 0 0 1 0 2 0 0
4703 19.994709505898 1 1 0 0 2 1 1 0 1 0 0
4709 27.0091493326935 1 0 0 0 0 0 1 0 3 1 0
4710 16.0113698673122 1 0 0 0 0 1 1 0 2 0 0
4715 18.0212117628402 0 0 0 0 0 1 1 0 2 0 1
4717 0.994974844067691 1 1 0 0 1 0 1 0 5 0 0
4724 1.00190477280797 1 0 1 0 0 0 1 0 5 1 1
4725 27.9964165577098 0 1 0 0 0 0 1 0 5 0 0
4727 2.00572875286826 0 0 0 0 0 0 1 0 5 1 0
4729 2.0014183258705 1 0 1 0 0 0 1 0 0 1 0
4730 6.99946855505738 0 0 0 0 2 0 1 0 3 0 0
4738 9.00280237070307 1 0 1 0 0 0 1 0 4 0 0
4740 16.9984792402246 1 0 0 0 0 1 1 0 2 0 0
4743 27.0067038277252 0 1 0 0 0 0 1 0 4 0 0
4744 26.9984299318487 0 0 0 0 0 0 1 0 2 1 0
4745 1.01455386552375 1 0 0 0 0 0 1 0 2 0 0
4747 26.9883957204496 0 0 0 0 0 0 1 0 3 0 0
4750 1.01650721774318 1 1 0 0 0 0 1 0 3 0 0
4751 4.9993013259645 1 0 0 0 0 0 1 0 2 1 0
4752 26.9863365225761 0 0 0 0 0 0 1 0 3 0 0
4753 27.005900486103 1 0 0 0 0 0 1 0 5 0 0
4754 16.9952939748398 0 0 0 0 1 0 0 1 3 0 0
4756 2.99771365830543 1 0 0 0 0 0 1 0 3 0 0
4759 26.997446655598 1 0 0 0 0 0 1 0 3 1 0
4764 12.0016230955365 1 1 0 0 0 1 0 1 4 0 0
4765 5.00301726372899 1 0 0 0 1 0 0 1 2 0 0
4770 2.98880150362573 1 0 0 0 1 0 0 1 3 0 0
4771 2.99810078712831 0 0 0 0 0 0 0 1 3 0 0
4779 15.9963400754224 1 1 0 0 0 0 0 1 2 1 1
4783 1.01369012871606 0 0 0 0 0 0 0 1 5 1 1
4785 27.002834822139 0 1 0 0 0 0 0 1 3 0 0
4786 0.996004402692483 0 0 0 0 0 1 0 1 5 0 0
4787 18.9865796794506 1 0 0 0 0 1 0 1 2 0 0
4788 20.0040673674101 0 0 0 0 1 1 0 1 2 0 0
4789 26.9869052006452 1 0 0 0 1 0 0 1 3 1 1
4791 2.97458631321003 0 1 0 0 0 0 0 0 2 0 0
4795 15.9949012565961 1 1 0 0 0 0 0 0 4 0 0
4796 27.0271556684275 0 1 0 0 0 0 0 0 3 0 1
4799 26.9920639070828 1 0 1 0 0 0 0 0 2 0 0
4800 7.00894919155468 0 1 0 0 0 0 0 0 4 1 1
4802 17.0047526571848 1 1 1 0 0 0 0 0 0 0 0
4804 28.9958744437621 0 0 1 0 0 0 0 0 5 1 0
4807 16.9990207486268 0 0 1 0 0 0 0 0 2 0 0
4809 3.99268216451785 0 0 0 0 2 0 0 0 3 0 1
4810 11.0209236439542 1 1 0 0 0 0 0 0 2 0 0
4811 9.99781657461414 0 0 0 0 2 0 0 0 2 0 0
4813 4.99579394099867 1 1 0 0 0 0 0 0 3 0 0
4814 0.994131784008652 1 0 0 0 2 1 0 0 5 0 0
4815 11.0081384712078 1 0 0 0 0 0 0 0 5 0 0
4817 1.9999845584572 0 0 0 0 2 0 1 0 4 0 0
4823 26.9881216570238 0 0 0 0 1 0 0 0 3 0 0
4825 2.00917716874515 1 0 0 0 1 0 1 0 5 0 0
4832 10.9916285833503 0 0 0 0 0 1 0 0 3 1 0
4834 19.9969319790524 0 0 0 0 0 0 0 0 3 0 0
4835 9.00478486636541 1 0 0 0 2 0 1 0 4 0 0
4837 25.9967563401401 0 1 0 0 0 0 1 0 0 0 0
4838 1.01379126494413 0 0 0 0 2 0 1 0 0 0 0
4839 5.0139242335046 0 1 0 0 1 0 0 0 4 0 0
4840 16.9911360958051 1 0 0 0 2 0 1 0 4 1 0
4841 21.9915895055819 0 0 0 0 2 0 1 0 0 0 0
4842 24.9847656722211 1 1 0 0 0 0 1 0 3 0 0
4847 26.0062561064048 1 1 0 0 0 1 1 0 2 0 0
4848 29.0063568226722 0 0 0 0 2 0 1 0 4 0 0
4850 10.0055298761855 1 1 0 0 0 1 1 0 4 0 0
4851 27.0152124815888 0 1 0 0 2 0 1 0 4 0 0
4852 7.99644266247902 0 0 0 0 0 0 1 0 3 0 0
4853 26.9949753503845 0 1 0 0 0 0 1 0 5 0 0
4855 3.00609070161608 0 1 0 0 0 0 1 0 3 0 0
4858 0.987352321775179 1 0 0 0 0 0 1 0 3 0 0
4862 26.9868671460855 0 1 0 0 0 1 1 0 4 0 0
4863 10.0164684330399 0 1 0 0 1 0 1 0 3 0 0
4864 0.98819852100387 0 0 0 0 0 0 1 0 0 0 0
4866 27.0077546090983 0 0 0 1 0 0 1 0 2 1 0
4867 5.98951069957378 0 0 0 0 0 0 1 0 5 0 0
4868 26.9986373071846 0 1 0 0 2 0 1 0 5 0 0
4870 0.989647129703349 1 1 0 0 0 0 1 0 4 0 0
4871 26.9735703825324 1 0 0 0 0 0 1 0 0 0 0
4874 5.0192983780933 0 1 0 1 0 0 1 0 5 0 0
4879 3.0093459201919 1 0 0 0 2 0 1 0 3 0 0
4883 12.9948638404781 0 0 0 0 2 0 1 0 0 1 0
4884 24.0127771628631 0 0 0 0 1 0 1 0 5 1 0
4885 15.9922327177164 0 0 0 0 0 1 1 0 2 0 0
4886 1.99767178360235 1 0 0 0 2 0 1 0 1 0 0
4892 26.997757504664 0 0 1 0 0 0 1 0 5 0 0
4893 0.995135652408994 1 1 0 0 1 0 1 0 3 0 0
4894 7.01915701691293 1 0 0 0 1 0 1 0 3 0 0
4895 2.01110669417552 0 1 0 0 1 0 1 0 3 0 0
4896 12.9790526951298 1 1 0 0 0 0 1 0 3 1 0
4897 15.005363556099 1 0 0 0 0 0 1 0 4 1 0
4898 1.01444072594936 1 1 0 0 0 0 1 0 4 0 0
4900 2.01354489681436 1 0 0 0 2 0 1 0 3 0 0
4901 3.99997588662334 0 0 0 0 2 0 1 0 3 0 0
4903 23.0023462429985 0 1 0 0 0 0 1 0 5 1 0
4906 0.994502945467468 0 0 0 0 0 0 1 0 4 0 0
4907 5.9854204057486 1 0 0 0 0 0 1 0 2 1 0
4913 0.981867301417127 1 0 0 0 0 0 1 0 4 1 0
4914 1.0031362649965 0 0 0 1 0 0 1 0 3 0 0
4915 26.9880798818316 0 0 0 0 0 0 1 0 3 1 0
4916 0.996447930349268 1 0 1 0 0 0 1 0 5 0 0
4919 2.00404514042466 0 0 0 0 2 0 1 0 5 0 0
4922 15.0041824150558 1 0 0 0 0 1 1 0 2 0 0
4924 26.9983996632419 1 0 0 0 2 0 1 0 4 1 0
4926 2.99180495696111 0 1 0 0 0 0 1 0 2 0 0
4928 13.0068628393266 1 0 0 0 0 1 1 0 2 0 0
4931 7.00961679309582 0 0 0 0 0 0 1 0 5 0 0
4934 2.99511103032853 0 0 0 0 0 0 1 0 5 1 0
4935 15.0000128766376 0 0 0 0 0 0 1 0 2 0 0
4938 1.00405042978612 0 0 0 0 2 0 1 0 5 1 0
4939 12.987237447794 0 1 0 0 0 0 1 0 4 0 0
4940 10.0010504891327 0 0 0 0 0 1 1 0 3 0 0
4942 24.0091353386653 1 1 0 0 0 0 1 0 1 0 0
4943 1.98532625843564 1 0 0 0 0 0 1 0 2 0 0
